Code	Strata	Date	Area	Trap	Temperature	Samp.day
C4NF2_42763	Canopy	01/28/17	NF2	Can4	22.0	5
C5NF2_42763	Canopy	01/28/17	NF2	Can5	21.1	5
C1NF3_42763	Canopy	01/28/17	NF3	Can1	25.0	5
C2NF3_42763	Canopy	01/28/17	NF3	Can2	33.7	5
C3NF3_42763	Canopy	01/28/17	NF3	Can3	23.0	5
C4NF3_42763	Canopy	01/28/17	NF3	Can4	26.2	5
C5NF3_42763	Canopy	01/28/17	NF3	Can5	34.1	5
U1NF1_42763	Understory	01/28/17	NF1	Und1	16.4	5
U2NF1_42763	Understory	01/28/17	NF1	Und2	16.1	5
U3NF1_42763	Understory	01/28/17	NF1	Und3	16.2	5
U4NF1_42763	Understory	01/28/17	NF1	Und4	16.6	5
U5NF1_42763	Understory	01/28/17	NF1	Und5	17.6	5
U1NF2_42763	Understory	01/28/17	NF2	Und1	16.8	5
U2NF2_42763	Understory	01/28/17	NF2	Und2	16.7	5
U3NF2_42763	Understory	01/28/17	NF2	Und3	17.9	5
U4NF2_42763	Understory	01/28/17	NF2	Und4	18.4	5
U5NF2_42763	Understory	01/28/17	NF2	Und5	19.0	5
U1NF3_42763	Understory	01/28/17	NF3	Und1	21.0	5
U2NF3_42763	Understory	01/28/17	NF3	Und2	20.4	5
U3NF3_42763	Understory	01/28/17	NF3	Und3	20.5	5
U4NF3_42763	Understory	01/28/17	NF3	Und4	20.5	5
U5NF3_42763	Understory	01/28/17	NF3	Und5	20.9	5
C1NF4_42784	Canopy	02/18/17	NF4	Can1	30.2	1
C2NF4_42784	Canopy	02/18/17	NF4	Can2	25.2	1
C3NF4_42784	Canopy	02/18/17	NF4	Can3	35.4	1
C4NF4_42784	Canopy	02/18/17	NF4	Can4	29.0	1
C5NF4_42784	Canopy	02/18/17	NF4	Can5	27.0	1
C1NF5_42784	Canopy	02/18/17	NF5	Can1	32.9	1
C2NF5_42784	Canopy	02/18/17	NF5	Can2	33.6	1
C3NF5_42784	Canopy	02/18/17	NF5	Can3	26.2	1
