"Code" "Subfamily" "Tribe" "Genus" "Species" "Abundance" "Strata" "Date" "SU" "Trap" "Temperature" "Samp.day" "Month" "Sites"
"116" "C2NF5_42677" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-11-03 "NF5" "Can2" 23 2 "November" "C2NF5N"
"117" "C2NF5_42716" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-12 "NF5" "Can2" 30.7 2 "December" "C2NF5D"
"118" "C2NF5_42716" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-12 "NF5" "Can2" 30.7 2 "December" "C2NF5D"
"119" "C2NF5_42716" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-12 "NF5" "Can2" 30.7 2 "December" "C2NF5D"
"120" "C2NF5_42716" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-12 "NF5" "Can2" 30.7 2 "December" "C2NF5D"
"121" "C2NF5_42718" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-14 "NF5" "Can2" 29.6 3 "December" "C2NF5D"
"122" "C2NF5_42722" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-18 "NF5" "Can2" 26.4 5 "December" "C2NF5D"
"123" "C2NF5_42722" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-18 "NF5" "Can2" 26.4 5 "December" "C2NF5D"
"124" "C2NF5_42754" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2017-01-19 "NF5" "Can2" 28.9 1 "January" "C2NF5J"
"125" "C2NF5_42786" "Charaxinae" "Anaeini" "Zaretis" "Zaretis_strigosus" 1 "Canopy" 2017-02-20 "NF5" "Can2" 31.4 2 "February" "C2NF5F"
